,time,perturbation,time:perturbation
P1T1,0,1,0
P2T1,0,1,0
P3T1,0,1,0
P4T1,0,1,0
P5T1,0,1,0
P1T2,1,1,1
P2T2,1,1,1
P3T2,1,1,1
P4T2,1,1,1
P5T2,1,1,1
R1T1,0,0,0
R2T1,0,0,0
R3T1,0,0,0
R4T1,0,0,0
R5T1,0,0,0
R1T2,1,0,0
R2T2,1,0,0
R3T2,1,0,0
R4T2,1,0,0
R5T2,1,0,0
