,time,perturbation
1T0,0,0
2T0,0,0
3T0,0,0
4T0,0,0
5T0,0,0
M1T2,1,1
M2T2,1,1
M3T2,1,1
M4T2,1,1
M5T2,1,1
O1T3,1,0
O2T3,1,0
O3T3,1,0
O4T3,1,0
O5T3,1,0
