,perturbation
FRJ1T1,1
FRJ2T1,1
FRJ3T1,1
FRJ4T1,1
FRJ5T1,1
FRL1T1,0
FRL2T1,0
FRL3T1,0
FRL4T1,0
FRL5T1,0
