,time,perturbation
step31,0,0
step32,0,0
step33,0,0
step34,0,0
step35,0,0
v2RBT11,1,1
v2RBT12,1,1
v2RBT13,1,1
v2RBT14,1,1
v2RBT15,1,1
v2RCT11,1,0
v2RCT12,1,0
v2RCT13,1,0
v2RCT14,1,0
v2RCT15,1,0
