,time
RS1D1T1,2
RS1D1T2,3
RS1D2T1,2
RS1D2T2,3
RS1D3T1,2
RS1D3T2,3
RS1D4T1,2
RS1D4T2,3
RS1D5T1,2
RS1D5T2,3
