,time,perturbation
1T0,0,0
2T0,0,0
3T0,0,0
4T0,0,0
5T0,0,0
N1T2,1,1
N2T2,1,1
N3T2,1,1
N4T2,1,1
N5T2,1,1
O1T2,1,0
O2T2,1,0
O3T2,1,0
O4T2,1,0
O5T2,1,0
