,time
RS1C1T1,2
RS1C1T2,3
RS1C2T1,2
RS1C2T2,3
RS1C3T1,2
RS1C3T2,3
RS1C4T1,2
RS1C4T2,3
RS1C5T1,2
RS1C5T2,3
