,time
RS1F1T1,0
RS1F1T2,1
RS1F2T1,0
RS1F2T2,1
RS1F3T1,0
RS1F3T2,1
RS1F4T1,0
RS1F4T2,1
RS1F5T1,0
RS1F5T2,1
