,time,perturbation
1T0,0,0
2T0,0,0
3T0,0,0
4T0,0,0
5T0,0,0
N1T1,1,1
N2T1,1,1
N3T1,1,1
N4T1,1,1
N5T1,1,1
O1T1,1,0
O2T1,1,0
O3T1,1,0
O4T1,1,0
O5T1,1,0
