,time
RS1E1T1,2
RS1E1T2,3
RS1E2T1,2
RS1E2T2,3
RS1E3T1,2
RS1E3T2,3
RS1E4T1,2
RS1E4T2,3
RS1E5T1,2
RS1E5T2,3
