,perturbation,time
step31,0,0
step32,0,0
step33,0,0
step34,0,0
step35,0,0
v2RAT11,1,0
v2RAT12,1,0
v2RAT13,1,0
v2RAT14,1,0
v2RAT15,1,0
v2RAT21,1,1
v2RAT22,1,1
v2RAT23,1,1
v2RAT24,1,1
v2RAT25,1,1
