,time
RS1A1T1,2
RS1A1T2,3
RS1A2T1,2
RS1A2T2,3
RS1A3T1,2
RS1A3T2,3
RS1A4T1,2
RS1A4T2,3
RS1A5T1,2
RS1A5T2,3
