,condition,time,perturbation,timeXperturbation
RDEFT0,0,0,0,0
RE1T1,1,1,1,0
RE1T2,1,2,1,1
RE2T1,1,1,1,0
RE2T2,1,2,1,1
RE3T1,1,1,1,0
RE3T2,1,2,1,1
RE4T1,1,1,1,0
RE4T2,1,2,1,1
RE5T1,1,1,1,0
RE5T2,1,2,1,1
RF1T1,0,1,0,0
RF1T2,0,2,0,0
RF2T1,0,1,0,0
RF2T2,0,2,0,0
RF3T1,0,1,0,0
RF3T2,0,2,0,0
RF4T1,0,1,0,0
RF4T2,0,2,0,0
RF5T1,0,1,0,0
RF5T2,0,2,0,0
