,condition,time,perturbation,timeXperturbation
SDEFT0,0,0,0,0
SD1T1,1,1,1,0
SD1T2,1,2,1,1
SD2T1,1,1,1,0
SD2T2,1,2,1,1
SD3T1,1,1,1,0
SD3T2,1,2,1,1
SD4T1,1,1,1,0
SD4T2,1,2,1,1
SD5T1,1,1,1,0
SD5T2,1,2,1,1
SF1T1,0,1,0,0
SF1T2,0,2,0,0
SF2T1,0,1,0,0
SF2T2,0,2,0,0
SF3T1,0,1,0,0
SF3T2,0,2,0,0
SF4T1,0,1,0,0
SF4T2,0,2,0,0
SF5T1,0,1,0,0
SF5T2,0,2,0,0
